country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Tajikistan,2014,1,0,0,0,0,0,0,0,0,1
Tanzania,2014,0,0,11,0,0,0,0,0,0,11
Thailand,2014,122,11,253,25,3,1,6,1,1,423
Tunisia,2014,9,1,10,0,0,0,1,0,2,23
Turkey,2014,25,7,16,19,1,0,23,0,3,94
Turkmenistan,2014,1,0,0,0,0,0,0,0,0,1
Uganda,2014,3,3,0,0,0,0,0,0,0,6
Ukraine,2014,248,9,418,66,1,7,92,5,49,895
United Arab Emirates,2014,1,0,1,0,0,0,0,0,0,2
United Kingdom,2014,9,0,51,40,1,0,0,2,0,103
United States,2014,18,0,5,5,0,0,0,1,0,29
Venezuela,2014,1,0,0,2,0,0,1,0,0,4
West Bank and Gaza Strip,2014,35,2,69,10,0,0,10,6,1,133
Yemen,2014,170,101,284,42,8,3,82,2,71,763
