country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Russia,2015,11,4,4,2,0,0,0,0,0,21
Saudi Arabia,2015,21,0,75,2,0,0,2,0,3,103
Senegal,2015,1,0,0,0,0,0,1,0,0,2
Somalia,2015,131,55,135,5,3,5,37,0,47,418
South Africa,2015,1,3,1,0,0,0,0,0,0,5
South Korea,2015,0,1,0,0,0,0,0,0,0,1
South Sudan,2015,15,7,6,2,0,0,8,0,16,54
Spain,2015,0,0,0,1,0,0,0,0,0,1
Sri Lanka,2015,3,0,7,1,0,0,0,0,0,11
Sudan,2015,59,3,7,4,8,1,49,11,16,158
Sweden,2015,5,0,1,26,0,0,0,0,0,32
Syria,2015,25,8,350,2,0,3,57,0,46,491
Tajikistan,2015,3,0,0,0,0,0,0,0,0,3
Tanzania,2015,1,1,4,7,0,0,0,0,1,14
Thailand,2015,70,13,191,3,0,0,1,0,0,278
Trinidad and Tobago,2015,1,0,0,0,0,0,0,0,0,1
Tunisia,2015,8,1,4,0,0,1,2,0,1,17
Turkey,2015,167,15,183,24,1,1,17,1,13,422
Uganda,2015,3,4,0,1,0,0,2,0,0,10
Ukraine,2015,141,7,441,16,0,1,13,0,18,637
United Kingdom,2015,25,0,54,29,0,2,0,3,1,114
United States,2015,12,0,6,16,0,2,0,2,0,38
Uzbekistan,2015,0,0,0,1,0,0,0,0,0,1
Venezuela,2015,0,1,1,1,0,0,0,0,0,3
West Bank and Gaza Strip,2015,154,5,36,18,0,0,1,31,1,246
Yemen,2015,83,68,291,8,1,3,107,0,103,664
